BankName-CardVariant,AnnualFee1stYear,AnnualFee2ndYear,MinimumSpendsForAnnualFeeReversal,AnnualFeeReversal,OverdueMonthlyInterest,OverdueAnnualInterest,CashWithdrawalFee,CashWithdrawalMinFee,CardReplacementFee,ForeignCurrencyTransactionsFee,ZeroCharge,JoiningOrAnnualFee,AnnualInterestRate,AnnualMinSpendLimit,DomesticAirportLoungeBenefits,InternationalAirportLoungeBenefits,RailwayLounge,MinumumAmountSpendtoavailBenefit,FuelSurchargeWaiverinPercentage,FuelDiscount/CashbackinPercentage,Maximum FuelDiscount/CashbackinRupees,FuelRewardPoints,MinimumSpendinRupees,MaximumDiscount/WaiverinRupees,E-Commerce Cashback in percentage,Merchant Cashback in percentage,Mobile Recharge/wallet Cashback in percentage,Domestic Air Ticket Cashback in percentage,Movie Ticket Cashback in percentage,Fuel Cashback in percentage,Utility Cashback in percentage,Domestic Travel in Percentage,Domestic Hotel spend Cashback in percentage,Other Cashback in percentage,Cashback in points,Payback points for online spend,Payback points for Utility spend,Payback points for dining/Hotel,Payback points on Fuel Spend,Payback points on Domestic Travel spend,Payback points for Annual spend limit,domestic Air Ticket cashback in rupees,International Air Ticket cashback in rupees,Domestic Hotel booking Cashback in Rupees,International Hotel booking Cashback in Rupees,Bus Ticket Booking Cashback in Rupees,Car Rentals Cashback in Rupees,Train Booking Cashback in Rupees,Movie Ticket Cashback in Rupees,Other cashback in Rupees,Minimum Spend,Domestic Travel Minimum Spend,Mimimum Annual spend,Maximum Cashback,Maximum Reward points,Reward point VS Cash (x:1)
HDFC-6E Rewards XL-IndiGo HDFC Bank,0,2500,0,0,3.6,43.2,2.5,500,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HDFC-6E Rewards-IndiGo HDFC Bank,0,700,0,0,3.6,43.2,2.5,500,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICICI-Accelero ICICI Bank Credit Card ,0,499,125000,1,3.4,40.8,0,0,100,3.5,0,0,1,1,1,0,0,5000,1,2.5,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
SBI-Air India SBI Platinum Card,1499,1499,0,0,3.5,42,2.5,500,0,3.5,0,1,1,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,15,15000,0,0,0,0,0,0,0,0,0,100,0,0,0,0,1
SBI-Air India SBI Signature Card,4999,4999,0,0,3.5,42,2.5,500,0,3.5,0,1,1,0,0,0,0,0,1,0,0,0,500,250,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,30,100000,0,0,0,0,0,0,0,0,0,100,0,0,0,0,1
SBI-Allahabad Bank SBI Card ELITE,4999,4999,0,0,3.5,42,2.5,500,0,3.5,0,1,1,0,8,6,0,0,1,0,0,0,500,250,0,0,0,0,0,0,0,0,0,0,2,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,4
SBI-Allahabad Bank SBI Card PRIME,2999,2999,0,0,3.5,42,2.5,500,0,3.5,0,1,1,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,4
SBI-Allahabad Bank SimplySAVE SBI Card,499,499,100000,1,3.5,42,2.5,500,0,3.5,0,0,1,1,0,0,0,0,1,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,1,1,10,10,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,4
HDFC-AllMiles credit card,0,1000,100000,1,0,0,2.5,500,0,0,0,1,1,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0
SBI-Apollo SBI Card,499,499,90000,1,3.5,42,2.5,500,0,3.5,0,0,1,1,0,0,0,0,1,0,0,0,500,100,0,10,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,1
