,Category,Cards,Offer1,Offer2,Offer3,Offer4,Offer5,Offer6
0,millennia-cards,Millennia Debit Card,Get up to ₹4800 CashBack every year,5% CashBack on shopping via PAYZAPP & SmartBUY,2.5% CashBack on all online spends,1% CashBack on all offline spends and Wallet reloads,,
1,millennia-cards,Millennia Credit Card,"5% Cashback on Amazon, BookMyShow, Cult.fit, Flipkart, Myntra, Sony LIV, Swiggy, Tata CLiQ, Uber and Zomato",1% cashback on all other spends (except Fuel) including EMI & Wallet transactions,"₹1000 worth gift vouchers on spends of ₹1,00,000 and above in each calendar quarter",8 Complimentary Domestic Airport Lounge access annually,,
2,millennia-cards,Millennia Credit Card,"5% CashBack on Amazon, Flipkart, Flight & Hotel bookings on shopping via PayZapp and SmartBuy",2.5% CashBack on all online spends,1% CashBack on all offline spends and wallet reloads,8 Complimentary Domestic Airport Lounge access annually,,
3,millennia-cards,Easy EMI Card,"Automatic conversion on spends of ₹10,000 and above to EMI of 9 months","5% CashBack on Amazon & Flipkart, Flight & Hotel bookings on shopping via PayZapp and SmartBuy",2.5% CashBack on all online spends,1% CashBack on all offline spends and wallet reloads,,
4,millennia-cards,Millennia Prepaid Card,5% CashBack on shopping via PAYZAPP & SmartBUY,2.5% CashBack on all online spends,1% CashBack on all offline spends and wallet reloads,"Get up to Rs. 5,000 CashBack every year",,
5,credit-cards,INFINIA Metal Edition,Complimentary Club Marriott membership for first year,Complimentary nights & weekend buffet at participating ITC hotels,Unlimited Complimentary golf games at leading courses across India and select courses across the world,5 Reward Points for every ₹ 150 spent,Global Personal Concierge -24 X 7,
6,credit-cards,Diners Club Black Credit Card,"Complimentary Annual memberships of Club Marriott, Forbes, Amazon Prime, Zomato Pro, MMT BLACK and Times Prime","Complimentary Ola Select | cult.fit Live | BookMyShow | TataCliQ vouchers on spends of over Rs. 80,000 every month",5 Reward Points for every Rs 150 spent,10X Reward Points on partner brands,Complimentary Golf games across the finest courses in the world,Unlimited Complimentary Airport Lounge Access
7,credit-cards,Paytm HDFC Bank Credit Card,Upto 3% Unlimited Cashback everytime,Paytm First Membership - Upto 75k worth benefits,Earn upto Rs. 1200 Cashback annually,Upto 50 days of credit free period,,
8,credit-cards,Paytm HDFC Bank Select Credit Card,Upto 5% Unlimited Cashback everytime,Paytm First Membership - Upto 75k worth benefits,8 Complimentary Airport Lounge Access,Gift Vouchers worth Rs.500 every Calendar Quarter,,
9,credit-cards,Paytm HDFC Bank Mobile Credit Card,Upto 2% Unlimited Cashback everytime,Upgrade to Paytm HDFC Bank Credit Card in 3 months,Customize your card the way you like,Instant issuance/ virtual credit card,,
10,credit-cards,Regalia Credit Card,Complimentary Dineout Passport Membership*,Complimentary lounge access at over 1000 airports,4 Reward Points for every ₹ 150 spent,"Earn Bonus 15,000 Reward Points on spends of ₹ 8 lakhs in a year",,
11,credit-cards,Diners Club Privilege Credit Card,"Complimentary Annual memberships of Amazon Prime, Zomato Pro, MMT BLACK, BB Star and Times Prime","Complimentary Ola Select | cult.fit Live | BookMyShow | TataCliQ vouchers on spends of over Rs. 40,000 every month",4 Reward Points for every Rs 150 spent,10X Reward Points on partner brands,Complimentary Golf games across the finest courses in the world,12 complimentary Airport Lounge Access worldwide
