,Cards,Payback,Airport and Railway Lounge Access ,Culinary,BookMyShow,Inox,Chip and Pin Security,Savings on Fuel Transactions,Hotel Offers from Visa,Hotel Offers from Mastercard,Complimentary rounds of golf every month,Concierge Services,Insurance,Dreamfolks Membership Programme,Manchester United Benefits,Annual Savings,Automobile Associated Privileges
1,Coral American Express,Earn 2 PAYBACK Points from ICICI Bank Rewards on every Rs. 100 spent on your card (except fuel).,"Enrich your travel experience with complimentary access to select lounges at airports and railway stations in India with your ICICI Bank Coral American Express® Credit Card. To avail, please present your Card at the lounge reception.",The finest dining experiences now come with equally impressive savings Exclusive dining offers through ICICI Bank Culinary Treats Programme.,Avail 25% discount upto Rs.100 on purchase of minimum 2 movie tickets per transaction on www.bookmyshow.com. The offer can be availed twice in a month.,"Avail 25% discount upto Rs.100 on purchase of minimum 2 movie tickets per transaction on  www.inoxmovies.com, Inox app or Inox Box Office. The offer can be availed twice in a month.",The new chip cards have an extra layer of security in the form of a Personal Identification Number (PIN),"1% fuel surcharge will not be applicable on fuel transactions of up to Rs. 4,000 at HPCL pumps when the Card is swiped on ICICI Merchant Services swipe machines.",,,,,,,,,
2,Coral American Express,Earn 4 PAYBACK Points from ICICI Bank Rewards on every Rs. 100 spent on online transactions.,"To view the updated list of lounges and complete details on the airport lounge programme with the associated Terms and Conditions, please click here.",For more detail please visit www.culinarytreats.com,Successful booking is on first come first serve basis and is subject to daily stock availability.,"Successful booking is on first come, first-serve basis and is subject to monthly ticket stock availability",You will be required to enter your PIN on the terminal for transactions at merchant outlets,,,,,,,,,,
3,Coral American Express,Earn 1 PAYBACK Point from ICICI Bank Rewards on every Rs.100 spent on utilities and insurance categories.,"For FAQ’s on Railway Lounge access, please click here.",You can also download the ICICI Bank Culinary Treats mobile app from Apple iStore or Google Play.,,,"To know more about Chip and PIN security, please click here",,,,,,,,,,
4,Coral American Express,"Under the ICICI Bank Milestone Rewards programme, get 2000 PAYBACK Points from ICICI Bank Rewards on spending Rs. 2,00,000 on your card and 1000 PAYBACK Points from ICICI Bank Rewards each time you cross Rs. 1,00,000 spend thereafter in an anniversary year; maximum of 10,000 PAYBACK Points per year",Eligible Card holders holding the ICICI Bank Coral American Express Credit Card are entitled to one complimentary railway lounge visit per quarter.,,,,This PIN is not required for online transactions. Please register your card for 3D Secure (Verified by VISA / American Express SafeKey) on our website for online transactions,,,,,,,,,,
5,Coral American Express,,"One complimentary access per quarter to select airport lounges in India by spending minimum of Rs 5,000 or above in a calendar quarter on your ICICI Bank Coral American Express Credit Card to avail this facility in the next calendar quarter. Over and above the allowed number of complimentary accesses, each subsequent access will be charged as per rates applicable to each lounge service provider.",,,,,,,,,,,,,,
6,Coral American Express,,Access to airport and railway lounges will be applicable only for primary cardholders.,,,,,,,,,,,,,,
7,Coral American Express,,"Eligible card members must present their valid, unexpired eligible cards, and a valid air ticket or boarding pass for travel on the same or next day, at the entrance to the participating lounges..",,,,,,,,,,,,,,
8,Coral American Express,,An authorisation amount of Re. 1 shall be taken on each eligible card presented at the entrance to the participating lounge,,,,,,,,,,,,,,
9,Coral American Express,,Access by other guests who accompany an eligible card member shall be subject to the terms and conditions of each participating lounge. Guests shall not be eligible to use any of the eligible card member’s unutilised complimentary accesses,,,,,,,,,,,,,,
10,Coral American Express,,"This offer is valid till August 14, 2018. Please note that the list of lounges may be changed by American Express at its sole discretion and without any notice to ICICI Bank or its card members. This programme is provided by a third party and is governed by such third party terms and conditions.",,,,,,,,,,,,,,
